GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex,Application,5,3,0,0,2,1,1,1,1,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex,DatabaseInitializer,147,13,1,1,19,6,2,3,1,3
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.controller.web,FilmWebController,101,203,3,3,20,46,7,9,4,9
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.controller.web,UserWebController,25,3,0,0,6,1,3,1,3,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.model,User,20,32,0,0,9,10,5,5,5,5
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.model,Film,101,95,4,4,25,33,11,16,8,15
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.model,Review,179,10,26,0,36,4,28,1,15,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.controller.rest,UserRestController,16,3,0,0,2,1,2,1,2,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.controller.rest,FilmRestController,27,57,1,3,5,12,4,6,3,5
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.service,FilmService,28,201,3,11,5,38,5,16,2,12
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.service,UserComponent,0,10,0,0,0,2,0,2,0,2
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.service,FavoriteFilmService,64,21,0,0,10,7,5,2,5,2
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.service,UserService,24,3,0,0,4,1,4,1,4,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.service,ReviewService,70,18,0,0,12,7,4,1,4,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.service.exceptions,FilmNotFoundException,0,5,0,0,0,2,0,1,0,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.configuration,WebErrorHandler,35,3,2,0,7,1,2,1,1,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.configuration,RestErrorHandler,15,14,2,2,2,4,2,2,0,2
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.configuration,UserModelAttributes,0,15,0,0,0,3,0,3,0,3
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.utils,AgeRatingOptionsUtils.AgeRatingOption,0,9,0,0,0,1,0,1,0,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.utils,ImageUtils,52,14,4,2,13,3,5,2,2,2
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.utils,AgeRatingOptionsUtils,3,19,0,0,1,6,1,2,1,2
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.utils,AgeRatingOptionsUtils.AgeRating,0,49,0,0,0,10,0,3,0,3
